,Sp,Brand_name,Price
206,"Máy tính bảng học tập thông minh Nexta Edutab Kid cho bé từ 5-8 tuổi - quản lý thời gian cho trẻ - 1 đổi 1 trong vòng 30 ngày, bảo hành 12 tháng",Nexta,2990000
207,"Điện thoại Masstel izi T2 4G(LTE), Màn hình 2.4 inch, Đèn pin siêu sáng, Loa to - Hàng chính hãng",Masstel,499000
208,"Điện thoại Masstel Fami 60S 4G(LTE) ,Bàn phím lớn, Khung viền kim loại - Hàng chính hãng",Masstel,689000
209,Máy tính bảng học tập thông minh Nexta Edutab Pro cho trẻ 9-12 tuổi - giải pháp học tập - quản lý thời gian cho trẻ - bảo hảnh 12 tháng,Nexta,3990000
210,Điện thoại Masstel Izi S1 4G (LTE) Gọi HD Call - Hàng chính hãng,Masstel,469000
211,Máy tính bảng Kindle Fire HD 10 2023 13th - Hàng nhập khẩu,Kindle,2590000
212,"Điện Thoại Samsung A05s 4GB/128GB , Snapdragon 680 , Sạc nhanh 25W - Hàng Chính Hãng",Samsung,3625000
213,Điện thoại Xiaomi Redmi 13C (4GB/128GB) - Hàng chính hãng - Bảo hành 18 tháng,Xiaomi,3090000
214,"Combo Máy đọc sách Kindle Scribe kèm bút – thế hệ đầu tiên có thể đọc và viết, màn hình 10,2” 300PPI, đèn vàng warmlight, bộ nhớ 16-64GB, đồng bộ dữ liệu qua Microsoft Word - hàng nhập khẩu",Kindle,11490000
215,"Máy tính bảng Kindle Fire MAX 11, màn hình 11 inch, RAM 4GB, CPU Octa-core 2.2Ghz, bộ nhớ 64/128GB - Hàng chính hãng",Kindle,4900000
216,Điện thoại OPPO A77 4GB+4GB/128GB - Sạc siêu nhanh 33W - Hàng nhập khẩu nhật - Bản quốc tế,OPPO,4990000
217,Samsung Galaxy A34 5G A346E (8+128G) Silver Bạc - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,7164000
218,Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) ĐKH -  Hàng Chính Hãng,Samsung,7164000
219,Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),XELEX,2890000
220,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Xanh - Hàng chính hãng,Samsung,7164000
221,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Đen - Hàng chính hãng,Samsung,7164000
222,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Bạc - Hàng chính hãng,Samsung,7164000
223,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,7164000
224,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,7164000
225,Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế,OPPO,3699000
226,Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,Xiaomi,2599000
227,Điện thoại bàn treo tường TC990,Uniden,250000
228,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,Kindle,6900000
229,Điện thoại bàn Panasonic KX-TS560 hàng chính hãng,Panasonic,688000
230,Điện Thoại Oppo A5i 4GB/64GB - Hàng Chính Hãng,OPPO,3179000
231,Điện Thoại Oppo A5i 4GB/128GB - Hàng Chính Hãng,OPPO,3479000
232,Điện Thoại Samsung Galaxy M55 5G 12GB/256GB - Hàng Chính Hãng,Samsung,7049000
233,Điện Thoại Oppo Reno14 5G 12GB/256GB - Hàng Chính Hãng,Samsung,14969000
234,Điện Thoại Samsung Galaxy M35 5G 8GB/256GB - Hàng Chính Hãng,Samsung,6349000
235,Điện thoại Realme C61 (4GB/128GB) - Hàng chính hãng,Realme,3560000
236,Điện Thoại Realme C61 4GB/128GB - Hàng Chính Hãng,Realme,2679000
237,Điện Thoại Realme C75 8GB/256GB - Hàng Chính Hãng,Realme,5699000
238,Điện Thoại Oppo A3x 4GB/64GB - Hàng Chính Hãng,OPPO,3079000
239,Điện thoại Xiaomi Redmi 14C (4GB/128GB) - Hàng chính hãng,Xiaomi,2659000
240,Điện Thoại Xiaomi Redmi A3 4GB/128GB - Hàng Chính Hãng,Xiaomi,2079000
241,Máy tính bảng Samsung Galaxy Tab A9 Wifi / LTE (4GB/64GB) - Hàng chính hãng,Samsung,3960000
